id,chars_full,chars_lean,tokens_full,tokens_lean,removed,spared,reduction,ruleset
RULE_BSA,47523,47517,11880,11879,2,0,0.0001,1.0
SPEC_HOME,69767,69756,17441,17439,1,1,0.0002,1.0
SPEC_AWAY,65879,65879,16469,16469,0,0,0.0000,1.0
SPEC_EMBOD,40973,40973,10243,10243,0,0,0.0000,1.0
SPEC_CROSS,13008,13008,3252,3252,0,0,0.0000,1.0
SPEC_GUEST,98717,97734,24679,24433,22,2,0.0100,1.0
SPEC_ITEMS,25079,25079,6269,6269,0,0,0.0000,1.0
SPEC_POP,54415,53613,13603,13403,20,2,0.0147,1.0
SPEC_ECOL,68938,68927,17234,17231,1,1,0.0002,1.0
SPEC_SPECIES,16211,16211,4052,4052,0,0,0.0000,1.0
SPEC_PROG,34549,34549,8637,8637,0,0,0.0000,1.0
PASS_OVER,43256,43256,10814,10814,0,0,0.0000,1.0
PASS_047,50235,49576,12558,12394,16,4,0.0131,1.0
PASS_BSA,24350,24314,6087,6078,12,0,0.0015,1.0
PHIL_ARCH,34416,34416,8604,8604,0,0,0.0000,1.0
PHIL_SPEC,36755,36755,9188,9188,0,0,0.0000,1.0
APDX_PLAN,25676,25676,6419,6419,0,0,0.0000,1.0
RSCH_MKT,71670,71670,17917,17917,0,0,0.0000,1.0
MANI_SPEC,50708,50708,12677,12677,0,0,0.0000,1.0
MANI_BOARD,38069,38069,9517,9517,0,0,0.0000,1.0
BASE_046,186024,181289,46506,45322,63,4,0.0255,1.0
SPEC_AUG,849,849,212,212,0,0,0.0000,1.0
